figure,evidence_tier,dataset,model,metric,value,source,note
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 causal,enhanced_stoi,0.888244089277952,results/v15/preservation/causal_preservation_gate_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.88772976; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V16 oracle,enhanced_stoi,0.8880484955762026,results/v16/oracle_gate_seed16040/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.88772976; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V14.2,enhanced_estoi,0.7669114649561586,results/v14/distillation/winner_dev400/summary.json,Figure shows delta from V14.2 value 0.76691146; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 quiet,enhanced_estoi,0.7674414710983704,results/v15/preservation/quiet_level_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.76691146; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 identity,enhanced_estoi,0.7670298659986335,results/v15/preservation/quiet_level_identity_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.76691146; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V15 causal,enhanced_estoi,0.7676012866280231,results/v15/preservation/causal_preservation_gate_seed1200/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.76691146; single seed.
05_preservation_models_dev400,development,VoiceBank locked development subset (400 files),V16 oracle,enhanced_estoi,0.7640965589356923,results/v16/oracle_gate_seed16040/voicebank_dev400/summary.json,Figure shows delta from V14.2 value 0.76691146; single seed.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R5 utility,avoidable_violation_rate,0.3825136612021858,results/v17/recipe5_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R5b balanced,avoidable_violation_rate,0.2204007285974499,results/v17/recipe5b_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R6 statistics,avoidable_violation_rate,0.20765027322404372,results/v17/recipe6_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R6b policy,avoidable_violation_rate,0.20765027322404372,results/v17/recipe6b_policy_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R7a burn-in,avoidable_violation_rate,0.2040072859744991,results/v17/recipe7_conclusion.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R7b prefix,avoidable_violation_rate,0.20765027322404372,results/v17/recipe7_conclusion.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R8 two-stage,avoidable_violation_rate,0.21129326047358835,results/v18/recipe8_conclusion.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R5 utility,mean_constraint_violation,6.073827340250812,results/v17/recipe5_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R5b balanced,mean_constraint_violation,1.3958625015471589,results/v17/recipe5b_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R6 statistics,mean_constraint_violation,1.3299763612498285,results/v17/recipe6_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R6b policy,mean_constraint_violation,1.3177852333507212,results/v17/recipe6b_policy_selection/summary.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R7a burn-in,mean_constraint_violation,1.2684937961489935,results/v17/recipe7_conclusion.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R7b prefix,mean_constraint_violation,0.6797147203395275,results/v17/recipe7_conclusion.json,Development-only frozen recipe selection; not external or standard test.
06_controller_recipe_outcomes,training-domain calibration,Controller calibration set (638 items),R8 two-stage,mean_constraint_violation,0.6646859695812455,results/v18/recipe8_conclusion.json,Development-only frozen recipe selection; not external or standard test.
